ISim log file
Running: /home/bill/workspace/EmbeddedSystemDesign/zynq_project-master/zynq_custom_ip/hw/ise/fft_peripheral/tb_fft_isim_beh.exe -intstyle ise -gui -tclbatch isim.cmd -wdb /home/bill/workspace/EmbeddedSystemDesign/zynq_project-master/zynq_custom_ip/hw/ise/fft_peripheral/tb_fft_isim_beh.wdb 
ISim P.58f (signature 0xfbc00daa)
This is a Full version of ISim.
WARNING: File "/home/bill/workspace/EmbeddedSystemDesign/zynq_project-master/zynq_custom_ip/hw/ise/fft_peripheral/tb_fft.v" Line 34.  For instance tb_fft/uut/, width 8 of formal port s_axis_config_tdata is not equal to width 16 of actual variable s_axis_config_tdata. 
WARNING: File "/home/bill/workspace/EmbeddedSystemDesign/zynq_project-master/zynq_custom_ip/hw/ise/fft_peripheral/tb_fft.v" Line 50.  For instance tb_fft/uut/, width 48 of formal port m_axis_data_tdata is not equal to width 32 of actual signal m_axis_data_tdata.
Time resolution is 1 ps
# onerror resume
# wave add /
# run 1000 ns
Simulator is doing circuit initialization process.
Finished circuit initialization process.
                   1 	 outReal	     0 	 outImage	     0
                   3 	 outReal	     0 	 outImage	     0
                   5 	 outReal	     0 	 outImage	     0
                   7 	 outReal	     0 	 outImage	     0
                   9 	 outReal	     0 	 outImage	     0
                  11 	 outReal	     0 	 outImage	     0
                  13 	 outReal	     0 	 outImage	     0
                  15 	 outReal	     0 	 outImage	     0
                  17 	 outReal	     0 	 outImage	     0
                  19 	 outReal	     0 	 outImage	     0
                  21 	 outReal	     0 	 outImage	     0
                  23 	 outReal	     0 	 outImage	     0
                  25 	 outReal	     0 	 outImage	     0
                  27 	 outReal	     0 	 outImage	     0
                  29 	 outReal	     0 	 outImage	     0
                  31 	 outReal	     0 	 outImage	     0
                  33 	 outReal	     0 	 outImage	     0
                  35 	 outReal	     0 	 outImage	     0
                  37 	 outReal	     0 	 outImage	     0
                  39 	 outReal	     0 	 outImage	     0
                  41 	 outReal	     0 	 outImage	     0
                  43 	 outReal	     0 	 outImage	     0
                  45 	 outReal	     0 	 outImage	     0
                  47 	 outReal	     0 	 outImage	     0
                  49 	 outReal	     0 	 outImage	     0
                  51 	 outReal	     0 	 outImage	     0
                  53 	 outReal	     0 	 outImage	     0
                  55 	 outReal	     0 	 outImage	     0
                  57 	 outReal	     0 	 outImage	     0
                  59 	 outReal	     0 	 outImage	     0
                  61 	 outReal	     0 	 outImage	     0
                  63 	 outReal	     0 	 outImage	     0
                  65 	 outReal	     0 	 outImage	     0
                  67 	 outReal	     0 	 outImage	     0
                  69 	 outReal	     0 	 outImage	     0
                  71 	 outReal	     0 	 outImage	     0
                  73 	 outReal	     0 	 outImage	     0
                  75 	 outReal	     0 	 outImage	     0
                  77 	 outReal	     0 	 outImage	     0
                  79 	 outReal	     0 	 outImage	     0
                  81 	 outReal	     0 	 outImage	     0
                  83 	 outReal	     0 	 outImage	     0
                  85 	 outReal	     0 	 outImage	     0
                  87 	 outReal	     0 	 outImage	     0
                  89 	 outReal	     0 	 outImage	     0
                  91 	 outReal	     0 	 outImage	     0
                  93 	 outReal	     0 	 outImage	     0
                  95 	 outReal	     0 	 outImage	     0
                  97 	 outReal	     0 	 outImage	     0
                  99 	 outReal	     0 	 outImage	     0
                 101 	 outReal	     0 	 outImage	     0
                 103 	 outReal	     0 	 outImage	     0
                 105 	 outReal	     0 	 outImage	     0
                 107 	 outReal	     0 	 outImage	     0
                 109 	 outReal	     0 	 outImage	     0
                 111 	 outReal	     0 	 outImage	     0
                 113 	 outReal	     0 	 outImage	     0
                 115 	 outReal	     0 	 outImage	     0
                 117 	 outReal	     0 	 outImage	     0
                 119 	 outReal	     0 	 outImage	     0
                 121 	 outReal	     0 	 outImage	     0
                 123 	 outReal	     0 	 outImage	     0
                 125 	 outReal	     0 	 outImage	     0
                 127 	 outReal	     0 	 outImage	     0
                 129 	 outReal	     0 	 outImage	     0
                 131 	 outReal	     0 	 outImage	     0
                 133 	 outReal	     0 	 outImage	     0
                 135 	 outReal	     0 	 outImage	     0
                 137 	 outReal	     0 	 outImage	     0
                 139 	 outReal	     0 	 outImage	     0
                 141 	 outReal	     0 	 outImage	     0
                 143 	 outReal	     0 	 outImage	     0
                 145 	 outReal	     0 	 outImage	     0
                 147 	 outReal	     0 	 outImage	     0
                 149 	 outReal	     0 	 outImage	     0
                 151 	 outReal	     0 	 outImage	     0
                 153 	 outReal	     0 	 outImage	     0
                 155 	 outReal	     0 	 outImage	     0
                 157 	 outReal	     0 	 outImage	     0
                 159 	 outReal	     0 	 outImage	     0
                 161 	 outReal	     0 	 outImage	     0
                 163 	 outReal	     0 	 outImage	     0
                 165 	 outReal	     0 	 outImage	     0
                 167 	 outReal	     0 	 outImage	     0
                 169 	 outReal	     0 	 outImage	     0
                 171 	 outReal	     0 	 outImage	     0
                 173 	 outReal	     0 	 outImage	     0
                 175 	 outReal	     0 	 outImage	     0
                 177 	 outReal	     0 	 outImage	     0
